<n>th Data : <REAL>|<RESULT>
 2978 th Data >> 3|3
 2719 th Data >> 1|1
 7572 th Data >> 2|2
 5625 th Data >> 3|3
 9724 th Data >> 0|0
 2664 th Data >> 2|2
 7432 th Data >> 7|1
 2079 th Data >> 6|6
 3823 th Data >> 2|2
 2154 th Data >> 1|1
 7597 th Data >> 8|3
 7053 th Data >> 1|1
 3519 th Data >> 8|8
 5494 th Data >> 2|2
 7258 th Data >> 6|6
 8151 th Data >> 7|7
 8290 th Data >> 3|3
 5985 th Data >> 5|5
 4463 th Data >> 5|5
 9688 th Data >> 0|0
 5441 th Data >> 6|6
 4374 th Data >> 5|5
 8796 th Data >> 9|9
 7040 th Data >> 3|3
 4266 th Data >> 4|4
 2417 th Data >> 0|0
 4868 th Data >> 7|7
 6251 th Data >> 4|4
 1980 th Data >> 4|4
 4563 th Data >> 1|1
 1851 th Data >> 9|9
 7823 th Data >> 8|8
  201 th Data >> 6|6
 3755 th Data >> 9|9
 4836 th Data >> 3|3
  864 th Data >> 8|8
 9899 th Data >> 7|7
 4877 th Data >> 1|1
 3145 th Data >> 5|5
 9223 th Data >> 0|0
 9997 th Data >> 4|4
 2219 th Data >> 8|8
 2509 th Data >> 4|4
  479 th Data >> 9|9
 1106 th Data >> 6|6
 2154 th Data >> 1|1
 7414 th Data >> 5|5
 4921 th Data >> 7|7
 3104 th Data >> 3|3
 1315 th Data >> 3|3
 1751 th Data >> 4|4
 7419 th Data >> 7|7
 6625 th Data >> 8|7
 9080 th Data >> 0|0
 6287 th Data >> 0|0
 2894 th Data >> 0|0
 1977 th Data >> 6|6
 8016 th Data >> 0|0
 4877 th Data >> 1|1
 2565 th Data >> 7|7
 1073 th Data >> 5|5
 4238 th Data >> 7|7
  402 th Data >> 3|3
 3538 th Data >> 9|9
 7780 th Data >> 0|0
   61 th Data >> 8|8
 9790 th Data >> 3|3
 1738 th Data >> 3|3
 5494 th Data >> 2|2
 7941 th Data >> 8|8
 1254 th Data >> 1|1
 2995 th Data >> 6|6
 9884 th Data >> 7|7
 2806 th Data >> 4|4
 4357 th Data >> 7|7
 2303 th Data >> 3|3
 4322 th Data >> 7|7
 5317 th Data >> 7|7
  437 th Data >> 3|3
 7176 th Data >> 1|1
 8977 th Data >> 9|9
 1844 th Data >> 1|1
 8224 th Data >> 5|5
 1334 th Data >> 5|5
  288 th Data >> 1|1
 3352 th Data >> 7|7
 1894 th Data >> 9|9
 6974 th Data >> 4|4
 1908 th Data >> 6|6
 8139 th Data >> 2|2
 2135 th Data >> 6|1
 1962 th Data >> 3|3
  274 th Data >> 9|9
 3975 th Data >> 3|3
 7942 th Data >> 9|9
 2149 th Data >> 8|8
 2630 th Data >> 4|4
 7166 th Data >> 6|6
 2789 th Data >> 1|1
 2547 th Data >> 7|7
===
Accuracy = 96.0%

Process finished with exit code 0
